Eyr,baresoilFrac,1850,2014
LImon,sftgif,1850,2014
Lmon,baresoilFrac,1850,2014
Emon,cLand,1850,2014
Eyr,cropFrac,1850,2014
LImon,snm,1850,2014
Ofx,areacello,1850,2014
Lmon,c3PftFrac,1850,2014
Emon,cSoil,1850,2014
Eday,lai,1950,1999
Amon,cl,1850,1869
Ofx,basin,1850,2014
Eyr,fracLut,1850,2014
Lmon,c4PftFrac,1850,2014
LImon,snw,1850,2014
Emon,cropFracC3,1850,2014
Ofx,deptho,1850,2014
Eyr,grassFrac,1850,2014
Eday,lai,2000,2014
Emon,fBNF,1850,2014
Ofx,masscello,1850,2014
Lmon,cLeaf,1850,2014
Eyr,shrubFrac,1850,2014
Ofx,sftof,1850,2014
Emon,fDeforestToProduct,1850,2014
Amon,cl,1870,1889
Eyr,treeFrac,1850,2014
Lmon,cLitter,1850,2014
Eday,mrsfl,1850,1854
Ofx,thkcello,1850,2014
Emon,fNdep,1850,2014
Eyr,vegFrac,1850,2014
Ofx,volcello,1850,2014
Eday,mrsfl,1855,1859
Lmon,cProduct,1850,2014
Emon,fNgas,1850,2014
Eday,mrsfl,1860,1864
Amon,cl,1890,1909
Lmon,cRoot,1850,2014
Emon,fNleach,1850,2014
Emon,fNloss,1850,2014
Lmon,cVeg,1850,2014
Eday,mrsfl,1865,1869
Lmon,cropFrac,1850,2014
Amon,cl,1910,1929
Emon,fNnetmin,1850,2014
Eday,mrsfl,1870,1874
Emon,fNup,1850,2014
Lmon,evspsblsoi,1850,2014
Eday,mrsfl,1875,1879
Emon,fProductDecomp,1850,2014
Amon,cl,1930,1949
Lmon,gpp,1850,2014
Emon,fracLut,1850,2014
Eday,mrsfl,1880,1884
Lmon,grassFrac,1850,2014
Emon,grassFracC3,1850,2014
Eday,mrsfl,1885,1889
Lmon,lai,1850,2014
Amon,cl,1950,1969
Emon,grassFracC4,1850,2014
Lmon,mrfso,1850,2014
Omon,agessc,1850,1859
Eday,mrsfl,1890,1894
Emon,mrlso,1850,2014
Eday,mrsfl,1895,1899
Lmon,mrro,1850,2014
Emon,mrsfl,1850,1949
Amon,cl,1970,1989
Lmon,mrros,1850,2014
Eday,mrsfl,1900,1904
SImon,siconc,1850,2014
Lmon,mrso,1850,2014
SIday,siconc,1950,1959
Eday,mrsfl,1905,1909
Emon,mrsfl,1950,2014
SImon,siconca,1850,2014
Lmon,mrsos,1850,2014
Amon,cl,1990,2009
Lmon,nbp,1850,2014
Amon,cl,2010,2014
Emon,mrsll,1850,1949
Eday,mrsfl,1910,1914
SImon,simass,1850,2014
Lmon,npp,1850,2014
Omon,agessc,1860,1869
SIday,siconc,1960,1969
Emon,mrsll,1950,2014
Eday,mrsfl,1915,1919
SImon,sisnmass,1850,2014
Lmon,ra,1850,2014
Amon,cli,1850,1869
SIday,siconc,1970,1979
Emon,mrsol,1850,1949
Eday,mrsfl,1920,1924
Lmon,residualFrac,1850,2014
Emon,mrsol,1950,2014
Eday,mrsfl,1925,1929
SIday,siconc,1980,1989
Lmon,rh,1850,2014
Amon,cli,1870,1889
Emon,nLand,1850,2014
Eday,mrsfl,1930,1934
Lmon,shrubFrac,1850,2014
SIday,siconc,1990,1999
Omon,agessc,1870,1879
Lmon,treeFrac,1850,2014
Emon,nLitter,1850,2014
Eday,mrsfl,1935,1939
Amon,cli,1890,1909
Emon,nMineral,1850,2014
SIday,siconc,2000,2009
Eday,mrsfl,1940,1944
Lmon,tsl,1850,1949
Emon,nProduct,1850,2014
Eday,mrsfl,1945,1949
SIday,siconc,2010,2014
Amon,cli,1910,1929
Lmon,tsl,1950,2014
Emon,nSoil,1850,2014
Eday,mrsfl,1950,1954
Omon,agessc,1880,1889
Emon,nVeg,1850,2014
Eday,mrsfl,1955,1959
Amon,cli,1930,1949
Emon,nwdFracLut,1850,2014
Eday,mrsfl,1960,1964
Emon,treeFracBdlDcd,1850,2014
Eday,mrsfl,1965,1969
Emon,treeFracBdlEvg,1850,2014
Amon,cli,1950,1969
Emon,treeFracNdlDcd,1850,2014
Omon,agessc,1890,1899
Eday,mrsfl,1970,1974
Emon,treeFracNdlEvg,1850,2014
Eday,mrsfl,1975,1979
Amon,cli,1970,1989
Emon,vegFrac,1850,2014
Eday,mrsfl,1980,1984
Emon,vegHeight,1850,2014
Amon,cli,1990,2009
Emon,wetlandFrac,1850,2014
Eday,mrsfl,1985,1989
Omon,agessc,1900,1909
Amon,cli,2010,2014
Eday,mrsfl,1990,1994
Amon,clivi,1850,2014
Eday,mrsfl,1995,1999
Omon,agessc,1910,1919
Amon,clt,1850,2014
Eday,mrsfl,2000,2004
Amon,clw,1850,1869
Eday,mrsfl,2005,2009
Amon,clw,1870,1889
Eday,mrsfl,2010,2014
Omon,agessc,1920,1929
Amon,clw,1890,1909
Eday,mrsll,1850,1854
Amon,clw,1910,1929
Eday,mrsll,1855,1859
Omon,agessc,1930,1939
Amon,clw,1930,1949
Eday,mrsll,1860,1864
Amon,clw,1950,1969
Omon,agessc,1940,1949
